,genres,keywords,tagline,cast,director,title,release_date,index
464,Animation Comedy Family,transylvania hotel witch technology magic,They're back to raise a little terror,Adam Sandler Andy Samberg Selena Gomez Kevin James Steve Buscemi,Genndy Tartakovsky,Hotel Transylvania 2,2015-09-21,464
465,Animation Family Music,orchestra musical segments,,Steve Martin Itzhak Perlman Quincy Jones Bette Midler James Earl Jones,James Algar,Fantasia 2000,1999-12-17,465
466,Science Fiction Adventure Action,future time machine,The greatest adventure THROUGH all time!,Guy Pearce Mark Addy Phyllida Law Sienna Guillory Laura Kirk,Simon Wells,The Time Machine,2002-03-04,466
467,Action Adventure Family Fantasy,gorilla dying and death,Survival is an instinct.,Charlize Theron Rade Serbedzija Bill Paxton Regina King Peter Firth,Ron Underwood,Mighty Joe Young,1998-12-25,467
468,Action Crime Thriller,female nudity hacker terrorism violence ex-con,Log On. Hack In. Go Anywhere. Get Everything.,John Travolta Hugh Jackman Halle Berry Don Cheadle Sam Shepard,Dominic Sena,Swordfish,2001-06-07,468
469,Action Adventure,california spy father son relationship mexico hero,The original caped crusader is back!,Antonio Banderas Catherine Zeta-Jones Adri\u00e1n Alonso Barona Julio Oscar Mechoso Nick Chinlund,Martin Campbell,The Legend of Zorro,2005-10-24,469
470,Drama Fantasy Romance,paradise soul underworld heaven painting,After life there is more. The end is just the beginning.,Robin Williams Cuba Gooding Jr. Annabella Sciorra Max von Sydow Jessica Brooks Grant,Vincent Ward,What Dreams May Come,1998-10-02,470
471,Comedy Fantasy Romance,father son relationship brother sister relationship mephisto bulldogg,He's Never Been To Earth. He's Never Even Slept Over Some Other Dude's House.,Adam Sandler Patricia Arquette Harvey Keitel Rhys Ifans Tom Lister Jr.,Steven Brill,Little Nicky,2000-11-10,471
472,Adventure Fantasy Action Comedy Thriller,brother brother relationship literature aftercreditsstinger,Eliminating Evil Since 1812.,Heath Ledger Matt Damon Mackenzie Crook Roger Ashton-Griffiths Peter Stormare,Terry Gilliam,The Brothers Grimm,2005-08-26,472
473,Comedy Fantasy Science Fiction,saving the world total destruction white house mars usa president,Nice planet. We'll take it!,Jack Nicholson Glenn Close Annette Bening Pierce Brosnan Danny DeVito,Tim Burton,Mars Attacks!,1996-12-12,473
474,Mystery Drama Horror,nurse sea beach boy pregnant,,Max Brebant Roxane Duran Julie-Marie Parmentier Mathieu Goldfeld Nissim Renard,Lucile Hadzihalilovic,Evolution,2015-09-14,474
475,Action Adventure Drama,photographer grizzly bear wilderness airplane supermodel,"They were fighting over a woman when the plane went down. Now, their only chance for survival is each other.",Alec Baldwin Anthony Hopkins Elle Macpherson Harold Perrineau L.Q. Jones,Lee Tamahori,The Edge,1997-09-06,475
476,Action Science Fiction Thriller,clone dystopia,How do you save humanity when the only thing that's real is you?,Bruce Willis Radha Mitchell Rosamund Pike James Cromwell Ving Rhames,Jonathan Mostow,Surrogates,2009-09-24,476
477,Drama Thriller,usa president atomic bomb john f. kennedy kubakrise threat,You'll never believe how close we came,Kevin Costner Bruce Greenwood Steven Culp Dylan Baker Shawn Driscoll,Roger Donaldson,Thirteen Days,2000-12-24,477
478,Action Adventure Thriller,taxi new jersey helicopter river hero,No air. No escape. No time.,Sylvester Stallone Amy Brenneman Viggo Mortensen Dan Hedaya Jay O. Sanders,Rob Cohen,Daylight,1996-12-06,478
479,Animation Family Adventure,dinosaur 3d,The Greatest Adventure in 70 Million Years,Charlie Rowe Justin Long Karl Urban Angourie Rice John Leguizamo,Barry Cook,Walking With Dinosaurs,2013-12-18,479
480,Action Science Fiction War,based on novel post-apocalyptic dystopia mining fighter jet,Take Back The Planet,John Travolta Barry Pepper Forest Whitaker Kim Coates Sabine Karsenti,Roger Christian,Battlefield Earth,2000-05-10,480
481,Animation Comedy Family,spy duck bunny wretch film industry,Real life has never been so animated.,Brendan Fraser Jenna Elfman Steve Martin Timothy Dalton Heather Locklear,Joe Dante,Looney Tunes: Back in Action,2003-11-14,481
482,Drama Music Romance,memory sidewalk cafe room key driving a car coastline,"This Holiday Season, Be Italian",Judi Dench Daniel Day-Lewis Marion Cotillard Pen\u00e9lope Cruz Sophia Loren,Rob Marshall,Nine,2009-12-03,482
483,Action Adventure Science Fiction,professor time travel quantum mechanics hundred years' war excavation,They had to travel into the past to save the future,Paul Walker Frances O'Connor Gerard Butler Billy Connolly David Thewlis,Richard Donner,Timeline,2003-11-26,483
484,Drama Adventure,usa post postman army apocalypse,The year is 2013. One man walked in off the horizon and hope came with him.,Kevin Costner Will Patton Olivia Williams Larenz Tate Tom Petty,Kevin Costner,The Postman,1997-12-25,484
485,Adventure Comedy Drama Family Fantasy,piggy bank shortage of money pig farm piglet,This little pig went to the city...,James Cromwell Mary Stein Mickey Rooney Magda Szubanski E.G. Daily,George Miller,Babe: Pig in the City,1998-11-25,485
486,Fantasy Action Adventure,new york witch uprising witch hunter,Hunt forever.,Vin Diesel Rose Leslie Elijah Wood \u00d3lafur Darri \u00d3lafsson Rena Owen,Breck Eisner,The Last Witch Hunter,2015-10-21,486
487,Thriller Action Science Fiction,mars future astronaut science catastrophe,Not A Sound. Not A Warning. Not A Chance. Not Alone.,Val Kilmer Carrie-Anne Moss Benjamin Bratt Tom Sizemore Simon Baker,Antony Hoffman,Red Planet,2000-11-10,487
488,Adventure Fantasy Animation Family,grandfather grandson relationship wretch treasure hunt disappearance family,Adventure awaits in your own backyard.,Freddie Highmore Mia Farrow Ron Crawford Penny Balfour Doug Rand,Luc Besson,Arthur and the Invisibles,2006-12-13,488
489,Documentary Family,ocean sea fish whale duringcreditsstinger,Explore the depths of our planet's oceans.  Experience the stories that connect their world to ours.,Pierce Brosnan Jacques Perrin Rie Miyazawa Aldo Baglio Matthias Brandt,Jacques Perrin,Oceans,2009-10-17,489
490,Thriller Science Fiction Adventure Action,dying and death time travel romance dinosaur,Some Rules Should Never Be Broken.,Heike Makatsch Armin Rohde David Oyelowo Wilfried Hochholdinger Edward Burns,Peter Hyams,A Sound of Thunder,2005-05-15,490
491,Action Adventure History Romance Drama,gladiator arena gladiator fight lava roman,No warning. No escape.,Kit Harington Carrie-Anne Moss Emily Browning Adewale Akinnuoye-Agbaje Jessica Lucas,Paul W.S. Anderson,Pompeii,2014-02-18,491
492,Comedy Animation,3d,,Jason Harris David Hoffman Bill Lobley Darin De Paul Marieve Herington,Andr\u00e9s Couturier,Top Cat Begins,2015-10-30,492
493,Drama Romance,individual schizophrenia massachusetts love of one's life intelligence,I need to believe that something extra ordinary is possible...,Russell Crowe Ed Harris Jennifer Connelly Christopher Plummer Paul Bettany,Ron Howard,A Beautiful Mind,2001-12-11,493
494,Family Animation Drama,loss of parents wild boar uncle shaman redemption,Life's greatest adventure is finding your place in the Circle of Life.,Jonathan Taylor Thomas Matthew Broderick James Earl Jones Jeremy Irons Moira Kelly,Roger Allers,The Lion King,1994-06-23,494
495,Adventure Action Science Fiction,mission mysterious island missing person duringcreditsstinger 3d,Believe the Impossible. Discover the Incredible.,Dwayne Johnson Josh Hutcherson Kristin Davis Vanessa Hudgens Luis Guzm\u00e1n,Brad Peyton,Journey 2: The Mysterious Island,2012-01-19,495
496,Animation Family Comedy,inventor food scientist,Something big was leftover.,Bill Hader Anna Faris James Caan Will Forte Andy Samberg,Cody Cameron,Cloudy with a Chance of Meatballs 2,2013-09-26,496
497,Crime Thriller Horror,psychopath serial killer fbi agent,Before the Silence.,Anthony Hopkins Edward Norton Ralph Fiennes Harvey Keitel Emily Watson,Brett Ratner,Red Dragon,2002-09-29,497
498,Western Adventure,horse race horse racehorse,Unbridled. Unbroken. Unbeaten.,Viggo Mortensen Zuleikha Robinson Omar Sharif Adam Alexi-Malle Louise Lombard,Joe Johnston,Hidalgo,2004-03-05,498
499,Comedy,duringcreditsstinger,His twin sister is coming for the holidays... ...and it ain't pretty.,Adam Sandler Katie Holmes Al Pacino Eugenio Derbez Tim Meadows,Dennis Dugan,Jack and Jill,2011-11-11,499
500,Action Crime Thriller,miami car race sports car los angeles car,How Fast Do You Want It?,Paul Walker Tyrese Gibson Eva Mendes Cole Hauser Ludacris,John Singleton,2 Fast 2 Furious,2003-06-05,500
501,Adventure Animation Fantasy,philosophy utopia airplane adventure dystopia,Growing up isn't the problem... forgetting is.,Jeff Bridges Rachel McAdams Paul Rudd Marion Cotillard James Franco,Mark Osborne,The Little Prince,2015-07-29,501
502,Science Fiction Thriller,remake alien escape alien invasion alien infection,Do not trust anyone. Do not show emotion. Do not fall asleep.,Nicole Kidman Daniel Craig Jeremy Northam Jeffrey Wright Jackson Bond,Oliver Hirschbiegel,The Invasion,2007-08-17,502
503,Action Adventure Animation Comedy Family,adventure cartoon comedy breaking the fourth wall talking to the camera,This summer it's not the same old bull.,Rene Russo Jason Alexander Piper Perabo Randy Quaid Robert De Niro,Des McAnuff,The Adventures of Rocky & Bullwinkle,2000-06-30,503
504,Animation Family,pet bunny anthropomorphism dog animal,Think this is what they do all day?,Louis C.K. Eric Stonestreet Kevin Hart Jenny Slate Lake Bell,Chris Renaud,The Secret Life of Pets,2016-06-18,504
505,Fantasy Action Thriller Science Fiction,saving the world vampire bite men invisible man,The power of seven become a league of one.,Sean Connery Peta Wilson Shane West Stuart Townsend Jason Flemyng,Stephen Norrington,The League of Extraordinary Gentlemen,2003-07-11,505
506,Animation Comedy Family,secret agent bakery falling in love father daughter relationship duringcreditsstinger,Back 2 Work,Steve Carell Kristen Wiig Benjamin Bratt Miranda Cosgrove Russell Brand,Pierre Coffin,Despicable Me 2,2013-06-25,506
507,Action Adventure Science Fiction,spacecraft patriotism countdown independence invasion,Earth. Take a good look. It might be your last.,Will Smith Bill Pullman Jeff Goldblum Mary McDonnell Judd Hirsch,Roland Emmerich,Independence Day,1996-06-25,507
508,Adventure Action Science Fiction,exotic island dna paleontology tyrannosaurus rex velociraptor,Something has survived.,Jeff Goldblum Julianne Moore Pete Postlethwaite Richard Attenborough Vince Vaughn,Steven Spielberg,The Lost World: Jurassic Park,1997-05-23,508
509,Family Animation,lion hippopotamus giraffe penguin zebra,Someone's got a zoo loose.,Ben Stiller Chris Rock David Schwimmer Jada Pinkett Smith Sacha Baron Cohen,Eric Darnell,Madagascar,2005-05-25,509
510,Drama Action Thriller Science Fiction,police state hippie rebel miracle future,The future's a thing of the past.,Clive Owen Michael Caine Julianne Moore Charlie Hunnam Chiwetel Ejiofor,Alfonso Cuar\u00f3n,Children of Men,2006-09-22,510
511,Adventure Action Science Fiction,mutant marvel comic superhero based on comic book superhuman,Evolution Begins,Patrick Stewart Hugh Jackman Ian McKellen Halle Berry Famke Janssen,Bryan Singer,X-Men,2000-07-13,511
512,Action Thriller Crime,assassin loss of father secret society mission of murder revenge,Choose your destiny.,Angelina Jolie James McAvoy Morgan Freeman Thomas Kretschmann Terence Stamp,Timur Bekmambetov,Wanted,2008-06-19,512
513,Action Adventure Thriller,san francisco fbi gas attack alcatraz hostage situation,Alcatraz.  Only one man has ever broken out.  Now five million lives depend on two men breaking in.,Sean Connery Nicolas Cage Ed Harris John Spencer David Morse,Michael Bay,The Rock,1996-06-06,513
514,Animation Family Comedy Adventure,mammoth sloth ice age barrier ice ice melting,The Ice age is melting away.,Ray Romano John Leguizamo Denis Leary Queen Latifah Seann William Scott,Carlos Saldanha,Ice Age: The Meltdown,2006-03-23,514
515,Comedy Romance,deja vu amnesia hawaii ladykiller romantic comedy,Imagine having to win over the girl of your dreams... every friggin' day.,Adam Sandler Drew Barrymore Rob Schneider Sean Astin Lusia Strus,Peter Segal,50 First Dates,2004-02-13,515
516,Family Comedy Music Romance,races dream dance television tv show,"When you follow your own beat, the world will follow you.",John Travolta Michelle Pfeiffer Christopher Walken James Marsden Queen Latifah,Adam Shankman,Hairspray,2007-07-13,516
517,Horror Mystery Thriller,secret obsession exorcism remake priest,Go back to where the horror began.,Stellan Skarsg\u00e5rd Izabella Scorupco James D'Arcy Julian Wadham Remy Sweeney,Renny Harlin,Exorcist: The Beginning,2004-08-20,517
518,Action Adventure Comedy Family,gadget,The greatest hero ever assembled.,Matthew Broderick Rupert Everett Joely Fisher Michelle Trachtenberg Andy Dick,David Kellogg,Inspector Gadget,1999-07-23,518
519,Thriller Crime,paris bank secret fbi vault,4 amazing magicians. 3 impossible heists. 1 billion dollars. This is no illusion.,Jesse Eisenberg Mark Ruffalo Woody Harrelson M\u00e9lanie Laurent Isla Fisher,Louis Leterrier,Now You See Me,2013-05-29,519
520,Comedy,overweight swing foot convertible arrow,Boys will be boys. . . some longer than others.,Adam Sandler Salma Hayek Maria Bello Steve Buscemi Maya Rudolph,Dennis Dugan,Grown Ups,2010-06-24,520
521,Comedy Drama,new york airport marriage proposal translation craftsman,Life is waiting.,Tom Hanks Catherine Zeta-Jones Stanley Tucci Chi McBride Diego Luna,Steven Spielberg,The Terminal,2004-06-17,521
522,Comedy Family,adoption puppy pitbull orphan foster home,No stray gets turned away.,Emma Roberts Jake T. Austin Don Cheadle Johnny Simmons Kyla Pratt,Thor Freudenthal,Hotel for Dogs,2009-01-16,522
523,Action Adventure Thriller,himalaya pakistan climbing k2 mountaineering,The Mountain Will Decide.,Chris O'Donnell Robin Tunney Bill Paxton Scott Glenn Izabella Scorupco,Martin Campbell,Vertical Limit,2000-12-08,523
524,Comedy Drama History,washington d.c. alcohol cia helicopter refugee camp,Based on a true story. You think we could make all this up?,Tom Hanks Philip Seymour Hoffman Julia Roberts Amy Adams Om Puri,Mike Nichols,Charlie Wilson's War,2007-12-19,524
525,Animation Action Comedy Family,fish hero mission of murder threat to death secret love,The story of what happens when one little fish tells a great white lie...,Will Smith Robert De Niro Ren\u00e9e Zellweger Jack Black Angelina Jolie,Vicky Jenson,Shark Tale,2004-09-20,525
526,Drama,music record manager black people adultery soul,One Dream Will Change Everything,Jamie Foxx Beyonc\u00e9 Knowles Eddie Murphy Danny Glover Jennifer Hudson,Bill Condon,Dreamgirls,2006-12-25,526
527,Comedy Crime,baseball bat widow recording contract recording studio russian mafia,Everyone is looking for the next big hit,John Travolta Uma Thurman Vince Vaughn Cedric the Entertainer Andr\u00e9 Benjamin,F. Gary Gray,Be Cool,2005-03-04,527
528,Drama Action History Thriller,paris assassination israel hotel room 1970s,The world was watching in 1972 as 11 Israeli athletes were murdered at the Munich Olympics. This is the story of what happened next.,Eric Bana Daniel Craig Ciar\u00e1n Hinds Mathieu Kassovitz Hanns Zischler,Steven Spielberg,Munich,2005-12-22,528
529,Action Drama War,u.s. army nigeria president,He was trained to follow orders. He became a hero by defying them.,Bruce Willis Monica Bellucci Cole Hauser Eamonn Walker Johnny Messner,Antoine Fuqua,Tears of the Sun,2003-03-07,529
530,Action Comedy Thriller Romance,assassin,Perfect wife. Perfect target.,Katherine Heigl Ashton Kutcher Tom Selleck Catherine O'Hara Alex Borstein,Robert Luketic,Killers,2010-06-04,530
531,Comedy Action Adventure,spy cold war remake based on tv series buddy cop,Saving the world never goes out of style.,Henry Cavill Armie Hammer Alicia Vikander Elizabeth Debicki Luca Calvani,Guy Ritchie,The Man from U.N.C.L.E.,2015-08-13,531
532,Comedy,upper class mother single parent parents kids relationship wife husband relationship,Every family has a hero.,Adam Sandler T\u00e9a Leoni Paz Vega Cloris Leachman Shelbie Bruce,James L. Brooks,Spanglish,2004-12-17,532
533,Animation Comedy Family Fantasy,monster secret toy children neighbor,The House is . . . ALIVE!,Ryan Newman Steve Buscemi Mitchel Musso Sam Lerner Spencer Locke,Gil Kenan,Monster House,2006-07-21,533
534,Action Comedy Crime Romance,prison,"Two's company, three's a crime.",Bruce Willis Billy Bob Thornton Cate Blanchett Troy Garity William Converse-Roberts,Barry Levinson,Bandits,2001-10-12,534
535,Action Adventure Drama Romance,camelot knight king arthur excalibur knights of the round table,Their greatest battle would be for her love.,Sean Connery Richard Gere Julia Ormond Ben Cross Liam Cunningham,Jerry Zucker,First Knight,1995-07-07,535
536,Drama History Romance,civil war father son relationship east india trading company traitor death penalty,,Jodie Foster Chow Yun-fat Bai Ling Tom Felton Randall Duk Kim,Andy Tennant,Anna and the King,1999-12-16,536
537,Fantasy Action Drama,poison army zeus poseidon spear,The Gods need a hero.,Mickey Rourke Kellan Lutz Isabel Lucas Henry Cavill Luke Evans,Tarsem Singh,Immortals,2011-11-10,537
538,Mystery Drama Thriller Crime,fbi kidnapping police operation home invasion hostage situation,Every Second Counts,Bruce Willis Kevin Pollak Jimmy Bennett Michelle Horn Ben Foster,Florent-Emilio Siri,Hostage,2005-03-09,538
539,Animation Action Science Fiction Family Adventure,monster galaxy dystopia space alien,"When Earth Ends, The Adventure Begins.",Matt Damon Bill Pullman Drew Barrymore John Leguizamo Nathan Lane,Gary Goldman,Titan A.E.,2000-06-16,539
540,Action Adventure Comedy Thriller,rap music hitman,,Harrison Ford Josh Hartnett Lena Olin Bruce Greenwood Isaiah Washington,Ron Shelton,Hollywood Homicide,2003-06-09,540
541,Action War Science Fiction,space marine dystopia alien planet genetic engineering,"Left for dead on a remote planet for obsolete machines and people, a fallen hero has one last battle to fight",Kurt Russell Jason Scott Lee Jason Isaacs Connie Nielsen Sean Pertwee,Paul W.S. Anderson,Soldier,1998-10-23,541
542,Action Drama Horror Science Fiction Thriller,beach desperation infection survival biohazard,"The rules are simple. You break them, you die...",Lou Taylor Pucci Chris Pine Piper Perabo Emily VanCamp Christopher Meloni,\u00c0lex Pastor,Carriers,2009-09-04,542
543,Adventure Fantasy Animation Action Comedy,parallel world organ donation horniness agent aftercreditsstinger,"If It Yells, If It Swings, It's Got To Be Monkeybone!",Brendan Fraser Bridget Fonda John Turturro Chris Kattan Giancarlo Esposito,Henry Selick,Monkeybone,2001-02-23,543
544,Action Adventure Drama Thriller,robbery water gobi desert disaster airplane crash,"Out of the ashes, hope will rise.",Dennis Quaid Tyrese Gibson Giovanni Ribisi Miranda Otto Hugh Laurie,John Moore,Flight of the Phoenix,2004-12-17,544
545,Science Fiction Thriller Drama,father son relationship train accident comic book marriage crisis invulnerability,Some things are only revealed by accident.,Bruce Willis Samuel L. Jackson Robin Wright Spencer Treat Clark John Patrick Amedori,M. Night Shyamalan,Unbreakable,2000-11-13,545
546,Family Animation Adventure Comedy,assistant aftercreditsstinger duringcreditsstinger evil mastermind minions,"Before Gru, they had a history of bad bosses",Sandra Bullock Jon Hamm Michael Keaton Allison Janney Steve Coogan,Kyle Balda,Minions,2015-06-17,546
547,Action Fantasy Thriller,brothel fantasy asylum reality escape,You will be unprepared,Emily Browning Abbie Cornish Jena Malone Vanessa Hudgens Jamie Chung,Zack Snyder,Sucker Punch,2011-03-24,547
548,Crime Mystery,casino political activism boxer mission of murder boxing match,Believe everything except your eyes.,Nicolas Cage Gary Sinise John Heard Carla Gugino Tamara Tunie,Brian De Palma,Snake Eyes,1998-08-07,548
549,Science Fiction,ocean extraterrestrial technology space marine paranoia raumschiffabsturz,"A thousand feet beneath the sea, the blackest holes are in the mind...",Dustin Hoffman Sharon Stone Samuel L. Jackson Peter Coyote Liev Schreiber,Barry Levinson,Sphere,1998-02-13,549
550,Family Animation,island bird pig talking animal based on video game,Why so angry?,Jason Sudeikis Josh Gad Danny McBride Maya Rudolph Bill Hader,Fergal Reilly,The Angry Birds Movie,2016-05-11,550
551,Romance Comedy Adventure,helicopter cemetery boat mexican standoff sword,This February True Love Takes a Dive.,Matthew McConaughey Kate Hudson Donald Sutherland Ewen Bremner Alexis Dziena,Andy Tennant,Fool's Gold,2008-02-07,551
552,Comedy Drama,comedian cancer bromance stand-up comedian,"George Simmons was prepared to die, but then a funny thing happened.",Adam Sandler Seth Rogen Leslie Mann Eric Bana Jonah Hill,Judd Apatow,Funny People,2009-07-31,552
553,Thriller Action Drama,assassination assassin terrorist explosive fbi,How do you stop an enemy who isn't afraid to die?,Jamie Foxx Jennifer Garner Chris Cooper Jason Bateman Ali Suliman,Peter Berg,The Kingdom,2007-08-22,553
554,Comedy,north carolina prayer family dinner advertising divorce,The story of a man who could only count to #1,Will Ferrell John C. Reilly Sacha Baron Cohen Gary Cole Michael Clarke Duncan,Adam McKay,Talladega Nights: The Ballad of Ricky Bobby,2006-08-04,554
555,Comedy Family Romance Fantasy,veterinarian forest bear animal animal protection,The doctor is in again.,Eddie Murphy Kristen Wilson Raven-Symon\u00e9 Kyla Pratt Mandy Moore,Steve Carr,Dr. Dolittle 2,2001-06-22,555
556,Action Drama History War,individual scotland in love with enemy legend independence,Every man dies. Not every man truly lives.,Mel Gibson Catherine McCormack Sophie Marceau Patrick McGoohan Angus Macfadyen,Mel Gibson,Braveheart,1995-05-24,556
557,Drama War,sniper marine corps saudi arabia petrol golf war,Welcome to the suck.,Jamie Foxx Jake Gyllenhaal Scott MacDonald Lucas Black Peter Sarsgaard,Sam Mendes,Jarhead,2005-11-04,557
558,Animation Comedy Family,father son relationship lake springfield the simpsons duff beer,See our family. And feel better about yours.,Dan Castellaneta Julie Kavner Nancy Cartwright Yeardley Smith Hank Azaria,David Silverman,The Simpsons Movie,2007-07-25,558
559,Drama Romance,california falsely accused prosecution anti-communism hollywood,Sometimes your life comes into focus one frame at a time.,Jim Carrey Martin Landau Laurie Holden David Ogden Stiers Hal Holbrook,Frank Darabont,The Majestic,2001-12-21,559
560,Action,competition running career idol racing car,Get ready for the race of your life.,Kip Pardue Robert Sean Leonard Til Schweiger Estella Warren Sylvester Stallone,Renny Harlin,Driven,2001-04-27,560
561,Adventure Drama Family,brother brother relationship loss of brother cambodia chase tiger,"Two infant tiger cubs, separated from their parents and each other.",Ma\u00ef Anh Le Guy Pearce Oanh Nguyen Jaran 'See Tao' Petcharoen St\u00e9phanie Lagarde,Jean-Jacques Annaud,Two Brothers,2004-04-07,561
562,Drama Mystery Thriller,secret forest rural setting blindness courtship,There is no turning back,Bryce Dallas Howard Joaquin Phoenix Adrien Brody William Hurt Sigourney Weaver,M. Night Shyamalan,The Village,2004-07-30,562
563,Comedy Family Fantasy,talking to animals woman director,He doesn't just talk to the animals!,Eddie Murphy Ossie Davis Oliver Platt Peter Boyle Richard Schiff,Betty Thomas,Doctor Dolittle,1998-06-22,563
564,Drama Thriller Science Fiction Mystery,symbolism water farm faith alien,It’s not like they didn’t warn us.,Mel Gibson Joaquin Phoenix Rory Culkin Abigail Breslin Cherry Jones,M. Night Shyamalan,Signs,2002-08-02,564
565,Adventure Animation Comedy Family Fantasy,prison magic liberation honeymoon parents-in-law,Once upon another time...,Mike Myers Eddie Murphy Cameron Diaz Julie Andrews Antonio Banderas,Andrew Adamson,Shrek 2,2004-05-19,565
566,Animation Adventure Comedy Family,car race car journey village and town auto route 66,Ahhh... it's got that new movie smell.,Owen Wilson Paul Newman Bonnie Hunt Larry the Cable Guy Tony Shalhoub,John Lasseter,Cars,2006-06-08,566
567,Comedy Romance,small town self-discovery just married reporter wedding,Catch her if you can.,Julia Roberts Richard Gere Joan Cusack Rita Wilson H\u00e9ctor Elizondo,Garry Marshall,Runaway Bride,1999-07-30,567
568,Action Adventure Thriller,sports car biological weapon cold war russian prague,A New Breed Of Secret Agent.,Vin Diesel Asia Argento Samuel L. Jackson Danny Trejo Leila Arcieri,Rob Cohen,xXx,2002-08-09,568
569,Animation Adventure Comedy Family,ocean sea star water comedy,He's leaving his world behind.,Tom Kenny Bill Fagerbakke Rodger Bumpass Clancy Brown Carolyn Lawrence,Paul Tibbitt,The SpongeBob Movie: Sponge Out of Water,2015-02-05,569
570,Action Thriller,bounty loss of child yellow press fbi baby-snatching,Someone is going to pay.,Mel Gibson Gary Sinise Delroy Lindo Rene Russo Lili Taylor,Ron Howard,Ransom,1996-11-08,570
571,Drama Action Thriller War,paris guerrilla cinema self sacrifice dynamite,Once upon a time in Nazi occupied France...,Brad Pitt M\u00e9lanie Laurent Christoph Waltz Eli Roth Michael Fassbender,Quentin Tarantino,Inglourious Basterds,2009-08-18,571
572,Adventure Fantasy Comedy Family,flying swordplay sword fantasy peter pan,What if Peter Pan grew up?,Robin Williams Dustin Hoffman Julia Roberts Bob Hoskins Maggie Smith,Steven Spielberg,Hook,1991-12-11,572
573,Action Thriller,ambush helicopter journalist based on novel airport,Die Harder,Bruce Willis Bonnie Bedelia William Atherton Reginald VelJohnson Franco Nero,Renny Harlin,Die Hard 2,1990-07-02,573
574,Action Thriller Crime,liberation transport of prisoners special unit weapon los angeles,You're either S.W.A.T. or you're not.,Samuel L. Jackson Colin Farrell Michelle Rodriguez LL Cool J Josh Charles,Clark Johnson,S.W.A.T.,2003-08-08,574
575,Drama Mystery Romance Science Fiction Thriller,amnesia ex-girlfriend virtual reality,"Forget everything you know, and open your eyes.",Tom Cruise Pen\u00e9lope Cruz Cameron Diaz Kurt Russell Jason Lee,Cameron Crowe,Vanilla Sky,2001-12-10,575
576,Drama Thriller Fantasy Mystery,fortune teller religion and supernatural supernatural powers mythical creature hell,Time is running out for a happy ending.,Paul Giamatti Jeffrey Wright Bob Balaban Sarita Choudhury Cindy Cheung,M. Night Shyamalan,Lady in the Water,2006-07-21,576
577,Adventure Science Fiction Action,saving the world predator laserpointer space marine pyramid,Whoever wins... We lose,Sanaa Lathan Raoul Bova Ewen Bremner Colin Salmon Tommy Flanagan,Paul W.S. Anderson,AVP: Alien vs. Predator,2004-08-12,577
578,Comedy Family Animation Fantasy Music,chipmunk cgi based on tv series aftercreditsstinger duringcreditsstinger,The Boys are back in town... and they have competition.,Zachary Levi David Cross Jason Lee Justin Long Matthew Gray Gubler,Betty Thomas,Alvin and the Chipmunks: The Squeakquel,2009-12-21,578
579,Action History War,vietnam veteran missile vietnam war army major,400 U.S paratroopers. 4000 Vietnamese soldiers. 12 000 miles away from home. 1 man led them into battle.,Mel Gibson Greg Kinnear Madeleine Stowe Sam Elliott Chris Klein,Randall Wallace,We Were Soldiers,2002-03-01,579
580,Action Thriller,white house secret service terrorist attack,When our flag falls our nation will rise.,Gerard Butler Aaron Eckhart Angela Bassett Morgan Freeman Radha Mitchell,Antoine Fuqua,Olympus Has Fallen,2013-03-20,580
581,Science Fiction Action Adventure Thriller,space opera retribution spacecraft officer exploding ship,The battle for paradise has begun.,Patrick Stewart Jonathan Frakes Brent Spiner LeVar Burton Michael Dorn,Jonathan Frakes,Star Trek: Insurrection,1998-12-10,581
582,Action Science Fiction,saving the world hero marine corps chaos retirement,It's not war. It's survival.,Aaron Eckhart Ram\u00f3n Rodr\u00edguez Will Rothhaar Cory Hardrict Jim Parrack,Jonathan Liebesman,Battle: Los Angeles,2011-03-08,582
583,Adventure Fantasy Drama,circus father son relationship witch fish fishing,An adventure as big as life itself.,Ewan McGregor Albert Finney Billy Crudup Jessica Lange Helena Bonham Carter,Tim Burton,Big Fish,2003-12-25,583
584,Fantasy,adultery heal bite werewolf,The animal is out.,Jack Nicholson Christopher Plummer James Spader Michelle Pfeiffer Kate Nelligan,Mike Nichols,Wolf,1994-06-17,584
585,Drama War,world war i horse farm life execution trapped,Separated by War. Tested by Battle. Bound by Friendship.,Tom Hiddleston Benedict Cumberbatch Toby Kebbell Emily Watson Jeremy Irvine,Steven Spielberg,War Horse,2011-12-25,585
586,War Drama History Action,world war ii nazis art theft post world war ii,It was the greatest art heist in history,Matt Damon Cate Blanchett George Clooney Bill Murray John Goodman,George Clooney,The Monuments Men,2014-01-24,586
587,Adventure Action Thriller Science Fiction,ocean sea diving suit flying saucer nuclear missile,"There's everything you've ever known about adventure, and then there's The Abyss.",Ed Harris Mary Elizabeth Mastrantonio Michael Biehn Leo Burmester Todd Graff,James Cameron,The Abyss,1989-08-09,587
588,Drama Crime,duringcreditsstinger,Gordon never gives up.,Michael Douglas Shia LaBeouf Josh Brolin Carey Mulligan Frank Langella,Oliver Stone,Wall Street: Money Never Sleeps,2010-09-02,588
